BW,BY,BE,BB,HB,HH,HE,MV,NI,NW,RP,SL,SN,ST,SH,TH,Datum
1865,2642,226,169,58,267,535,20,665,1823,243,174,225,66,161,186,2020-09-06
1865,2642,226,169,58,267,535,20,665,1823,243,174,225,66,161,186,2020-09-07
1867,2643,226,169,58,267,535,20,665,1823,243,174,225,66,161,187,2020-09-08
1867,2644,226,169,58,267,536,20,665,1826,245,175,225,66,161,188,2020-09-09
1868,2644,226,169,58,267,537,20,665,1827,245,175,225,66,161,188,2020-09-10
1868,2644,226,169,58,267,537,20,665,1828,245,175,225,66,161,188,2020-09-11
1867,2645,226,169,58,267,538,20,667,1828,246,175,226,66,161,188,2020-09-12
1867,2645,226,169,58,268,539,20,667,1828,246,175,226,66,161,188,2020-09-13
1867,2645,226,169,58,268,539,20,667,1829,246,175,226,66,161,188,2020-09-14
1868,2647,226,169,59,268,540,20,667,1834,247,175,226,66,161,189,2020-09-15
1868,2647,227,169,59,268,542,20,667,1837,247,175,226,66,161,189,2020-09-16
1868,2647,227,169,59,268,542,20,667,1839,247,176,226,66,161,189,2020-09-17
1869,2648,227,169,59,269,543,20,667,1842,247,176,226,66,161,189,2020-09-18
1871,2648,227,169,59,269,543,20,669,1844,247,176,226,66,161,189,2020-09-19
1871,2648,227,169,59,269,544,20,669,1845,247,176,226,66,161,189,2020-09-20
1871,2648,227,169,59,269,544,20,669,1845,247,176,226,66,161,189,2020-09-21
1871,2651,227,169,59,269,545,20,670,1848,248,176,227,66,161,189,2020-09-22
1874,2653,228,169,59,269,545,20,670,1854,248,176,227,67,161,189,2020-09-23
1875,2654,228,169,59,269,546,20,678,1859,248,176,229,67,161,190,2020-09-24
1876,2657,228,169,59,269,548,20,681,1861,251,176,230,67,161,190,2020-09-25
1877,2657,228,169,59,269,549,20,683,1863,251,176,233,67,161,190,2020-09-26
1877,2659,228,169,59,269,550,20,683,1864,252,176,233,67,161,190,2020-09-27
1880,2659,228,169,59,269,550,20,683,1865,251,176,233,67,161,190,2020-09-28
1880,2664,228,169,59,269,551,20,682,1867,253,177,233,68,161,190,2020-09-29
1885,2664,228,169,59,270,551,20,684,1872,254,177,234,68,162,191,2020-09-30
1886,2663,228,169,59,271,551,20,685,1880,255,177,235,68,162,191,2020-10-01
1887,2664,229,169,59,271,551,20,689,1879,255,177,237,68,162,191,2020-10-02
1888,2672,231,169,59,271,552,20,690,1882,256,177,239,68,162,191,2020-10-03
1888,2671,231,169,59,272,552,20,690,1884,256,177,239,68,162,191,2020-10-04
1890,2672,231,169,59,273,553,20,690,1884,256,177,239,68,162,191,2020-10-05
1894,2674,231,169,59,273,556,20,691,1886,256,177,239,68,162,191,2020-10-06
1894,2680,231,169,59,274,556,20,691,1891,256,177,243,68,162,191,2020-10-07
1898,2681,232,169,60,276,557,20,694,1894,256,177,243,68,162,191,2020-10-08
1898,2684,233,169,60,276,557,20,695,1900,256,177,243,68,162,191,2020-10-09
1899,2684,234,169,60,277,559,20,697,1905,256,177,246,68,162,191,2020-10-10
1901,2685,234,169,60,277,560,20,697,1911,256,177,247,68,162,191,2020-10-11
1901,2685,234,169,61,277,562,20,697,1913,256,177,248,68,162,191,2020-10-12
1903,2689,234,169,61,277,562,20,696,1917,257,177,248,68,162,194,2020-10-13
1909,2693,237,172,62,278,567,20,702,1923,260,177,250,68,163,196,2020-10-14
1919,2700,237,172,62,278,569,20,706,1931,260,177,252,68,163,196,2020-10-15
1920,2702,239,172,62,278,571,20,710,1936,262,177,255,71,163,196,2020-10-16
1927,2714,240,172,62,278,572,20,710,1943,263,177,257,71,163,198,2020-10-17
1928,2713,240,172,63,280,573,21,714,1943,263,177,257,71,163,199,2020-10-18
1932,2714,241,172,63,280,576,21,713,1946,263,177,258,71,163,199,2020-10-19
1936,2720,241,174,63,281,584,21,717,1963,265,177,259,71,163,201,2020-10-20
1946,2726,243,175,63,281,590,21,719,1970,265,177,264,71,163,201,2020-10-21
1950,2729,243,177,63,282,593,21,720,1980,265,178,269,71,163,201,2020-10-22
1957,2734,245,179,63,283,600,21,723,1994,267,178,272,73,164,201,2020-10-23
1966,2740,248,180,64,283,607,21,728,2008,268,178,273,73,164,202,2020-10-24
1970,2742,249,184,64,283,609,21,729,2017,268,178,278,74,164,202,2020-10-25
1972,2746,250,184,64,283,611,21,732,2024,268,179,278,74,167,203,2020-10-26
1977,2756,251,186,66,283,617,22,733,2031,268,180,283,75,167,203,2020-10-27
1986,2772,251,187,66,283,629,22,735,2059,276,181,292,74,167,203,2020-10-28
2000,2789,253,188,69,283,637,22,737,2083,279,183,300,76,170,203,2020-10-29
2010,2797,253,190,70,283,641,23,743,2102,281,186,315,77,174,204,2020-10-30
2022,2804,255,193,72,283,646,23,748,2155,285,188,317,79,175,207,2020-10-31
2029,2808,261,195,72,285,654,23,748,2145,285,192,322,79,175,208,2020-11-01
2031,2809,261,197,73,288,663,23,762,2154,287,192,324,81,177,208,2020-11-02
2045,2816,261,203,77,291,683,23,763,2193,294,194,342,83,183,210,2020-11-03
2056,2843,265,203,78,294,699,23,782,2236,301,194,350,86,190,212,2020-11-04
2072,2851,272,204,80,296,710,23,791,2267,307,195,365,88,192,217,2020-11-05
2092,2885,287,208,81,298,729,24,802,2297,310,198,386,88,194,217,2020-11-06
2107,2905,292,213,85,298,741,29,811,2334,316,199,389,89,200,218,2020-11-07
2111,2913,294,215,86,304,753,29,817,2341,316,199,402,90,200,219,2020-11-08
2120,2923,295,217,87,304,758,30,823,2355,320,201,405,93,201,220,2020-11-09
2133,2953,301,223,88,304,786,31,834,2395,325,202,409,93,205,224,2020-11-10
2167,3018,314,226,89,305,809,34,843,2465,334,205,426,96,208,228,2020-11-11
2189,3050,321,229,89,308,821,34,868,2517,342,207,458,102,213,234,2020-11-12
2225,3081,334,230,93,310,836,36,882,2581,352,208,474,105,213,240,2020-11-13
2242,3108,348,232,94,311,854,37,897,2616,356,211,502,105,218,247,2020-11-14
2258,3133,358,238,94,311,864,38,903,2623,362,214,511,105,219,254,2020-11-15
2265,3144,363,241,97,313,873,38,904,2637,363,214,514,105,222,254,2020-11-16
2297,3191,371,251,98,314,905,40,917,2700,370,217,546,106,227,264,2020-11-17
2333,3262,394,253,102,315,935,44,935,2766,381,228,567,108,227,269,2020-11-18
2369,3314,401,262,103,318,961,47,951,2819,391,231,582,113,229,279,2020-11-19
2405,3348,422,270,104,331,980,49,970,2887,402,234,602,113,231,282,2020-11-20
2436,3387,441,276,105,334,1010,53,985,2943,411,234,626,121,233,289,2020-11-21
2441,3426,447,277,106,336,1027,53,1004,2956,416,236,648,122,234,293,2020-11-22
2449,3440,449,280,108,338,1033,53,1010,2977,420,236,667,122,234,296,2020-11-23
2452,3490,456,287,112,339,1071,54,1022,3047,434,239,682,129,237,310,2020-11-24
2530,3553,492,293,113,347,1111,55,1052,3126,452,248,710,129,241,319,2020-11-25
2580,3647,508,307,114,347,1163,57,1079,3210,465,249,720,145,242,327,2020-11-26
2626,3699,527,316,114,358,1199,58,1104,3306,491,249,800,154,245,340,2020-11-27
2671,3759,539,329,116,368,1232,61,1140,3380,508,250,858,160,249,345,2020-11-28
2702,3785,539,334,116,372,1240,61,1150,3418,515,251,882,163,249,346,2020-11-29
2715,3801,553,337,118,372,1248,61,1152,3435,517,252,922,165,253,347,2020-11-30
2776,3862,565,344,123,373,1298,64,1159,3515,546,255,965,176,255,360,2020-12-01
2825,3970,594,359,125,385,1338,65,1184,3621,572,258,1010,181,258,378,2020-12-02
2883,4057,618,380,129,387,1372,68,1207,3721,592,262,1083,190,259,394,2020-12-03
2919,4156,641,405,132,404,1411,71,1228,3793,608,262,1142,194,263,405,2020-12-04
2978,4249,657,415,133,407,1441,73,1256,3892,644,268,1224,202,264,414,2020-12-05
3007,4289,679,419,136,419,1460,74,1261,3924,666,271,1279,208,264,416,2020-12-06
3022,4325,683,421,137,423,1478,75,1266,3954,674,271,1292,209,265,424,2020-12-07
3098,4411,699,422,139,425,1529,78,1277,4064,681,276,1307,215,269,452,2020-12-08
3170,4518,732,435,142,435,1578,86,1299,4167,736,286,1381,229,271,467,2020-12-09
3229,4621,749,444,147,443,1601,88,1353,4226,759,287,1428,242,276,479,2020-12-10
3293,4723,768,464,150,458,1659,94,1380,4346,805,294,1505,251,283,497,2020-12-11
3353,4812,790,477,150,462,1716,96,1403,4422,837,296,1591,263,290,508,2020-12-12
3400,4848,813,481,154,478,1749,96,1419,4455,846,301,1652,271,291,533,2020-12-13
3425,4895,821,484,158,478,1755,98,1427,4489,855,307,1702,274,293,514,2020-12-14
3524,4936,846,500,159,481,1834,100,1454,4615,888,313,1702,289,295,539,2020-12-15
3628,5163,899,540,160,491,1906,102,1482,4786,936,313,1855,302,301,563,2020-12-16
3640,5309,929,605,163,500,1964,109,1523,4927,979,325,1923,318,315,596,2020-12-17
3795,5483,959,623,165,514,2004,111,1576,5075,1000,338,2013,338,319,625,2020-12-18
3892,5566,985,635,167,528,2085,114,1605,5177,1041,349,2132,376,322,666,2020-12-19
3939,5655,1001,647,168,545,2121,117,1636,5209,1056,352,2216,384,324,679,2020-12-20
3969,5692,1006,658,171,547,2147,119,1648,5245,1062,360,2252,392,324,683,2020-12-21
4101,5802,1024,694,172,549,2200,121,1684,5425,1090,369,2315,399,333,728,2020-12-22
4267,5966,1066,714,175,561,2296,127,1702,5608,1137,377,2409,458,348,757,2020-12-23
4331,6069,1105,753,177,571,2331,134,1753,5778,1198,387,2562,478,352,791,2020-12-24
4373,6114,1116,763,177,580,2396,134,1764,5835,1213,399,2658,500,355,805,2020-12-25
4400,6150,1118,771,178,584,2423,139,1774,5888,1229,406,2682,502,359,819,2020-12-26
4438,6213,1128,781,182,586,2484,142,1778,5964,1257,406,2706,509,366,828,2020-12-27
4486,6265,1149,788,183,589,2511,143,1802,6066,1272,412,2733,515,376,836,2020-12-28
4587,6398,1172,814,186,598,2582,152,1851,6227,1328,412,2838,532,394,907,2020-12-29
4695,6549,1213,884,191,614,2711,161,1908,6451,1378,421,3003,560,411,957,2020-12-30
4789,6716,1247,937,194,632,2845,171,1967,6552,1428,432,3139,602,425,995,2020-12-31
4840,6765,1271,976,196,653,2887,172,2003,6631,1441,433,3266,651,427,1012,2021-01-01
4894,6811,1277,982,201,658,2917,173,2016,6701,1459,440,3302,666,436,1027,2021-01-02
4925,6868,1285,993,202,661,2962,177,2028,6751,1466,441,3353,687,443,1030,2021-01-03
4947,6925,1305,1008,204,661,2991,179,2041,6820,1476,445,3378,694,446,1054,2021-01-04
5052,7163,1327,1015,208,671,3095,189,2101,7010,1531,455,3412,704,475,1110,2021-01-05
5180,7260,1390,1083,209,695,3211,200,2122,7246,1582,467,3502,725,497,1168,2021-01-06
5207,7424,1445,1143,209,725,3278,215,2206,7507,1632,483,3626,777,514,1216,2021-01-07
5337,7656,1487,1221,213,763,3349,226,2258,7706,1686,497,3814,805,520,1257,2021-01-08
5464,7786,1547,1281,219,792,3461,235,2313,7866,1740,529,3981,832,534,1298,2021-01-09
5530,7875,1560,1281,222,817,3483,239,2329,7942,1762,540,4064,832,545,1322,2021-01-10
5575,7913,1565,1286,223,820,3513,242,2340,7978,1780,543,4130,870,554,1354,2021-01-11
5665,8053,1591,1335,225,820,3588,254,2386,8181,1838,555,4196,912,569,1409,2021-01-12
5758,8216,1635,1361,226,851,3716,260,2442,8402,1870,566,4323,949,594,1468,2021-01-13
5874,8399,1711,1469,227,865,3780,268,2493,8585,1919,588,4583,1006,609,1505,2021-01-14
5978,8513,1755,1527,227,882,3843,282,2531,8838,1977,599,4794,1068,624,1556,2021-01-15
6050,8639,1800,1549,230,895,3907,296,2604,9033,2035,606,4982,1089,648,1611,2021-01-16
6071,8690,1823,1595,231,904,3936,298,2628,9091,2048,608,5079,1133,651,1633,2021-01-17
6111,8697,1833,1605,232,906,3964,308,2634,9123,2048,611,5104,1166,652,1639,2021-01-18
6219,8929,1860,1667,237,917,4072,310,2685,9306,2104,628,5156,1181,675,1676,2021-01-19
6324,9106,1918,1738,239,935,4190,324,2768,9473,2145,632,5307,1247,691,1733,2021-01-20
6419,9282,1957,1805,240,950,4257,340,2829,9635,2187,645,5433,1289,707,1808,2021-01-21
6514,9420,1996,1849,248,962,4318,344,2900,9773,2216,654,5517,1333,725,1873,2021-01-22
6585,9583,2021,1896,250,976,4362,355,2945,9895,2263,681,5670,1397,741,1901,2021-01-23
6618,9642,2039,1908,251,987,4388,363,2964,9941,2279,686,5722,1425,744,1913,2021-01-24
6633,9671,2040,1939,253,988,4412,369,2976,9972,2287,689,5730,1437,755,1936,2021-01-25
6728,9773,2067,2028,255,990,4494,384,3031,10161,2330,696,5799,1493,769,1992,2021-01-26
6803,9943,2111,2106,257,1003,4577,399,3090,10301,2380,704,5920,1556,794,2028,2021-01-27
6871,10116,2164,2161,259,1029,4676,409,3154,10457,2417,711,6002,1604,815,2068,2021-01-28
6956,10229,2198,2193,265,1037,4733,423,3189,10597,2450,720,6153,1653,834,2122,2021-01-29
7013,10344,2238,2263,266,1066,4786,443,3253,10717,2450,731,6254,1705,853,2164,2021-01-30
7039,10379,2268,2282,268,1071,4812,448,3278,10784,2515,736,6288,1712,877,2188,2021-01-31
7063,10394,2278,2291,268,1073,4842,451,3285,10824,2531,737,6289,1712,888,2194,2021-02-01
7181,10496,2295,2361,273,1074,4926,474,3324,10973,2573,743,6367,1773,917,2231,2021-02-02
7227,10767,2328,2449,278,1074,4989,480,3362,11149,2618,752,6469,1809,944,2261,2021-02-03
7275,10895,2376,2507,283,1097,5050,506,3412,11259,2648,760,6560,1860,967,2287,2021-02-04
7341,11023,2420,2539,285,1120,5114,520,3509,11386,2685,766,6659,1922,985,2323,2021-02-05
7403,11096,2454,2622,286,1140,5148,542,3550,11497,2720,775,6739,1956,1006,2352,2021-02-06
7422,11126,2467,2629,286,1143,5165,544,3581,11540,2727,783,6763,1970,1012,2359,2021-02-07
7426,11146,2471,2630,290,1145,5182,552,3596,11565,2732,786,6794,1978,1016,2366,2021-02-08
7509,11226,2486,2668,293,1148,5229,579,3635,11595,2764,787,6816,1990,1038,2393,2021-02-09
7552,11371,2507,2716,301,1158,5296,596,3682,11796,2800,795,6895,2010,1062,2432,2021-02-10
7592,11470,2551,2749,305,1167,5362,603,3716,11895,2826,803,6999,2050,1083,2464,2021-02-11
7675,11547,2574,2760,306,1178,5398,614,3773,11963,2846,805,7044,2068,1101,2539,2021-02-12
